municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
Pedra Branca do Amapari,2020-03-27,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-03-28,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-03-29,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-03-30,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-03-31,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-01,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-02,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-03,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-04,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-05,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-06,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-07,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-08,0.0,0,0,0,,,,0.0
Pedra Branca do Amapari,2020-04-09,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-10,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-11,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-12,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-13,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-14,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-15,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-16,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-17,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-18,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-19,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-20,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-21,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-22,0.0,0,0,0,0.0,0.0,,0.0
Pedra Branca do Amapari,2020-04-23,1.0,1,0,0,0.07142857142857142,0.0,,0.0
Pedra Branca do Amapari,2020-04-24,1.0,0,0,0,0.07142857142857142,0.0,,0.0
Pedra Branca do Amapari,2020-04-25,1.0,0,0,0,0.07142857142857142,0.0,,0.0
Pedra Branca do Amapari,2020-04-26,1.0,0,0,0,0.07142857142857142,0.0,,0.0
Pedra Branca do Amapari,2020-04-27,1.0,0,0,0,0.07142857142857142,0.0,,0.0
Pedra Branca do Amapari,2020-04-28,1.0,0,0,0,0.07142857142857142,0.0,,0.0
Pedra Branca do Amapari,2020-04-29,1.0,0,0,0,0.07142857142857142,0.0,,0.0
Pedra Branca do Amapari,2020-04-30,4.0,3,0,0,0.2857142857142857,0.0,,0.6020599913279624
Pedra Branca do Amapari,2020-05-01,4.0,0,0,0,0.2857142857142857,0.0,,0.6020599913279624
Pedra Branca do Amapari,2020-05-02,8.0,4,0,0,0.5714285714285714,0.0,,0.9030899869919435
Pedra Branca do Amapari,2020-05-03,11.0,3,0,0,0.7857142857142857,0.0,,1.041392685158225
Pedra Branca do Amapari,2020-05-04,11.0,0,0,0,0.7857142857142857,0.0,,1.041392685158225
Pedra Branca do Amapari,2020-05-05,13.0,2,0,0,0.9285714285714286,0.0,,1.1139433523068367
Pedra Branca do Amapari,2020-05-06,14.0,1,0,0,1.0,0.0,,1.146128035678238
Pedra Branca do Amapari,2020-05-07,15.0,1,0,0,1.0,0.0,,1.1760912590556813
Pedra Branca do Amapari,2020-05-08,21.0,6,1,1,1.4285714285714286,0.07142857142857142,inf,1.3222192947339193
Pedra Branca do Amapari,2020-05-09,32.0,11,1,0,2.2142857142857144,0.07142857142857142,inf,1.505149978319906
Pedra Branca do Amapari,2020-05-10,36.0,4,1,0,2.5,0.07142857142857142,inf,1.5563025007672873
Pedra Branca do Amapari,2020-05-11,40.0,4,1,0,2.7857142857142856,0.07142857142857142,inf,1.6020599913279625
Pedra Branca do Amapari,2020-05-12,43.0,3,1,0,3.0,0.07142857142857142,inf,1.6334684555795866
Pedra Branca do Amapari,2020-05-13,43.0,0,1,0,3.0,0.07142857142857142,inf,1.6334684555795866
Pedra Branca do Amapari,2020-05-14,43.0,0,1,0,2.7857142857142856,0.07142857142857142,inf,1.6334684555795866
Pedra Branca do Amapari,2020-05-15,45.0,2,1,0,2.9285714285714284,0.07142857142857142,inf,1.6532125137753437
Pedra Branca do Amapari,2020-05-16,56.0,11,1,0,3.4285714285714284,0.07142857142857142,inf,1.7481880270062005
Pedra Branca do Amapari,2020-05-17,60.0,4,2,1,3.5,0.14285714285714285,inf,1.7781512503836436
Pedra Branca do Amapari,2020-05-18,63.0,3,2,0,3.7142857142857144,0.14285714285714285,inf,1.7993405494535817
Pedra Branca do Amapari,2020-05-19,76.0,13,3,1,4.5,0.21428571428571427,inf,1.8808135922807914
Pedra Branca do Amapari,2020-05-20,96.0,20,3,0,5.857142857142857,0.21428571428571427,inf,1.9822712330395684
Pedra Branca do Amapari,2020-05-21,96.0,0,3,0,5.785714285714286,0.21428571428571427,inf,1.9822712330395684
Pedra Branca do Amapari,2020-05-22,202.0,106,3,0,12.928571428571429,0.14285714285714285,1.0,2.305351369446624
Pedra Branca do Amapari,2020-05-23,227.0,25,3,0,13.928571428571429,0.14285714285714285,1.0,2.3560258571931225
Pedra Branca do Amapari,2020-05-24,251.0,24,3,0,15.357142857142858,0.14285714285714285,1.0,2.399673721481038
Pedra Branca do Amapari,2020-05-25,267.0,16,3,0,16.214285714285715,0.14285714285714285,1.0,2.4265112613645754
Pedra Branca do Amapari,2020-05-26,308.0,41,3,0,18.928571428571427,0.14285714285714285,1.0,2.4885507165004443
Pedra Branca do Amapari,2020-05-27,358.0,50,3,0,22.5,0.14285714285714285,1.0,2.5538830266438746
Pedra Branca do Amapari,2020-05-28,367.0,9,3,0,23.142857142857142,0.14285714285714285,1.0,2.5646660642520893
Pedra Branca do Amapari,2020-05-29,367.0,0,3,0,23.0,0.14285714285714285,1.0,2.5646660642520893
Pedra Branca do Amapari,2020-05-30,432.0,65,3,0,26.857142857142858,0.14285714285714285,1.0,2.635483746814912
Pedra Branca do Amapari,2020-05-31,464.0,32,3,0,28.857142857142858,0.07142857142857142,-0.5,2.6665179805548807
Pedra Branca do Amapari,2020-06-01,506.0,42,3,0,31.642857142857142,0.07142857142857142,-0.5,2.7041505168397992
Pedra Branca do Amapari,2020-06-02,609.0,103,3,0,38.07142857142857,0.0,-1.0,2.784617292632875
Pedra Branca do Amapari,2020-06-03,678.0,69,3,0,41.57142857142857,0.0,-1.0,2.8312296938670634
Pedra Branca do Amapari,2020-06-04,840.0,162,3,0,53.142857142857146,0.0,-1.0,2.9242792860618816
Pedra Branca do Amapari,2020-06-05,1028.0,188,3,0,59.0,0.0,-1.0,3.011993114659257
Pedra Branca do Amapari,2020-06-06,1119.0,91,3,0,63.714285714285715,0.0,-1.0,3.04883008652835
Pedra Branca do Amapari,2020-06-07,1166.0,47,3,0,65.35714285714286,0.0,-1.0,3.0666985504229953
Pedra Branca do Amapari,2020-06-08,1228.0,62,3,0,68.64285714285714,0.0,-1.0,3.089198366805149
Pedra Branca do Amapari,2020-06-09,1268.0,40,4,1,68.57142857142857,0.07142857142857142,-0.5,3.1031192535457137
Pedra Branca do Amapari,2020-06-10,1323.0,55,4,0,68.92857142857143,0.07142857142857142,-0.5,3.1215598441875008
Pedra Branca do Amapari,2020-06-11,1356.0,33,4,0,70.64285714285714,0.07142857142857142,-0.5,3.1322596895310446
Pedra Branca do Amapari,2020-06-12,1395.0,39,4,0,73.42857142857143,0.07142857142857142,-0.5,3.144574207609616
Pedra Branca do Amapari,2020-06-13,1416.0,21,4,0,70.28571428571429,0.07142857142857142,-0.5,3.15106325335375
Pedra Branca do Amapari,2020-06-14,1430.0,14,4,0,69.0,0.07142857142857142,0.0,3.155336037465062
Pedra Branca do Amapari,2020-06-15,1472.0,42,5,1,69.0,0.14285714285714285,1.0,3.16790781000148
Pedra Branca do Amapari,2020-06-16,1573.0,101,5,0,68.85714285714286,0.14285714285714285,inf,3.196728722623287
Pedra Branca do Amapari,2020-06-17,1608.0,35,5,0,66.42857142857143,0.14285714285714285,inf,3.2062860444124324
Pedra Branca do Amapari,2020-06-18,1669.0,61,5,0,59.214285714285715,0.14285714285714285,inf,3.2224563366792465
Pedra Branca do Amapari,2020-06-19,1713.0,44,5,0,48.92857142857143,0.14285714285714285,inf,3.2337573629655103
Pedra Branca do Amapari,2020-06-20,1749.0,36,5,0,45.0,0.14285714285714285,inf,3.2427898094786767
Pedra Branca do Amapari,2020-06-21,1779.0,30,5,0,43.785714285714285,0.14285714285714285,inf,3.250175948083925
Pedra Branca do Amapari,2020-06-22,1793.0,14,5,0,40.357142857142854,0.14285714285714285,inf,3.253580289562183
Pedra Branca do Amapari,2020-06-23,1835.0,42,5,0,40.5,0.07142857142857142,0.0,3.263636068588108
Pedra Branca do Amapari,2020-06-24,1871.0,36,5,0,39.142857142857146,0.07142857142857142,0.0,3.27207378750001
Pedra Branca do Amapari,2020-06-25,1888.0,17,5,0,38.0,0.07142857142857142,0.0,3.27600198996205
Pedra Branca do Amapari,2020-06-26,1894.0,6,5,0,35.642857142857146,0.07142857142857142,0.0,3.2773799746672547
Pedra Branca do Amapari,2020-06-27,1903.0,9,5,0,34.785714285714285,0.07142857142857142,0.0,3.2794387882870204
Pedra Branca do Amapari,2020-06-28,1914.0,11,5,0,34.57142857142857,0.07142857142857142,0.0,3.281941933440825
Pedra Branca do Amapari,2020-06-29,1928.0,14,5,0,32.57142857142857,0.0,-1.0,3.285107029566812
Pedra Branca do Amapari,2020-06-30,1967.0,39,5,0,28.142857142857142,0.0,-1.0,3.2938043599193367
Pedra Branca do Amapari,2020-07-01,2007.0,40,5,0,28.5,0.0,-1.0,3.3025473724874854
Pedra Branca do Amapari,2020-07-02,2036.0,29,5,0,26.214285714285715,0.0,-1.0,3.3087777736647213
Pedra Branca do Amapari,2020-07-03,2050.0,14,5,0,24.071428571428573,0.0,-1.0,3.311753861055754
