data,GO,MS,PI,RR,AC,AL,BA,CE,DF,ES,MG,MT,RN,RO,RS,SC
2022-12-18,,,,,,4.0,,2.0,,,,1.0,3.0,5.0,,
2022-12-19,,,,,,5.0,,2.0,,,,1.0,3.0,4.0,,
2022-12-20,,,,,,,5.0,4.0,,,,1.0,2.0,3.0,,
2022-12-21,,,,,,,5.0,4.0,,,,1.0,2.0,3.0,,
2022-12-22,,,,3.0,,5.0,,,,,4.0,1.0,2.0,,,
2022-12-23,,,,3.0,,,4.0,,,,,1.0,2.0,,5.0,
2022-12-24,,,,3.0,,,4.0,,,,5.0,1.0,2.0,,,
2022-12-25,,,,3.0,,,4.0,,,,5.0,1.0,2.0,,,
2022-12-26,,,4.0,1.0,,,3.0,,,5.0,2.0,,,,,
2022-12-27,2.0,1.0,,,,,4.0,,,5.0,,,,,,3.0
2022-12-28,2.0,1.0,3.0,,,,,,4.0,5.0,,,,,,
2022-12-29,1.0,2.0,3.0,,,,,,4.0,,,,,5.0,,
2022-12-30,1.0,2.0,3.0,,,,,,,,,,,5.0,4.0,
2022-12-31,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
