estado,municipio,coduf,codmun,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
SC,,42,,2020-02-25,0.0,0,0,0,,,,0.0
SC,,42,,2020-02-26,0.0,0,0,0,,,,0.0
SC,,42,,2020-02-27,0.0,0,0,0,,,,0.0
SC,,42,,2020-02-28,0.0,0,0,0,,,,0.0
SC,,42,,2020-02-29,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-01,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-02,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-03,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-04,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-05,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-06,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-07,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-08,0.0,0,0,0,,,,0.0
SC,,42,,2020-03-09,0.0,0,0,0,0.0,0.0,,0.0
SC,,42,,2020-03-10,0.0,0,0,0,0.0,0.0,,0.0
SC,,42,,2020-03-11,0.0,0,0,0,0.0,0.0,,0.0
SC,,42,,2020-03-12,0.0,0,0,0,0.0,0.0,,0.0
SC,,42,,2020-03-13,2.0,2,0,0,0.14285714285714285,0.0,,0.3010299956639812
SC,,42,,2020-03-14,4.0,2,0,0,0.2857142857142857,0.0,,0.6020599913279624
SC,,42,,2020-03-15,6.0,2,0,0,0.42857142857142855,0.0,,0.7781512503836436
SC,,42,,2020-03-16,7.0,1,0,0,0.5,0.0,,0.8450980400142568
SC,,42,,2020-03-17,7.0,0,0,0,0.5,0.0,,0.8450980400142568
SC,,42,,2020-03-18,10.0,3,0,0,0.7142857142857143,0.0,,1.0
SC,,42,,2020-03-19,20.0,10,0,0,1.4285714285714286,0.0,,1.3010299956639813
SC,,42,,2020-03-20,21.0,1,0,0,1.5,0.0,,1.3222192947339193
SC,,42,,2020-03-21,51.0,30,0,0,3.642857142857143,0.0,,1.7075701760979363
SC,,42,,2020-03-22,57.0,6,0,0,4.071428571428571,0.0,,1.7558748556724915
SC,,42,,2020-03-23,68.0,11,0,0,4.857142857142857,0.0,,1.8325089127062364
SC,,42,,2020-03-24,107.0,39,0,0,7.642857142857143,0.0,,2.0293837776852097
SC,,42,,2020-03-25,109.0,2,0,0,7.785714285714286,0.0,,2.037426497940624
SC,,42,,2020-03-26,122.0,13,1,1,8.714285714285714,0.07142857142857142,inf,2.0863598306747484
SC,,42,,2020-03-27,149.0,27,1,0,10.5,0.07142857142857142,inf,2.173186268412274
SC,,42,,2020-03-28,184.0,35,1,0,12.857142857142858,0.07142857142857142,inf,2.2648178230095364
SC,,42,,2020-03-29,194.0,10,1,0,13.428571428571429,0.07142857142857142,inf,2.287801729930226
SC,,42,,2020-03-30,197.0,3,1,0,13.571428571428571,0.07142857142857142,inf,2.294466226161593
SC,,42,,2020-03-31,219.0,22,2,1,15.142857142857142,0.14285714285714285,inf,2.3404441148401185
SC,,42,,2020-04-01,235.0,16,2,0,16.071428571428573,0.14285714285714285,inf,2.3710678622717363
SC,,42,,2020-04-02,247.0,12,2,0,16.214285714285715,0.14285714285714285,inf,2.392696953259666
SC,,42,,2020-04-03,281.0,34,5,3,18.571428571428573,0.35714285714285715,inf,2.44870631990508
SC,,42,,2020-04-04,334.0,53,5,0,20.214285714285715,0.35714285714285715,inf,2.5237464668115646
SC,,42,,2020-04-05,357.0,23,10,5,21.428571428571427,0.7142857142857143,inf,2.552668216112193
SC,,42,,2020-04-06,379.0,22,10,0,22.214285714285715,0.7142857142857143,inf,2.578639209968072
SC,,42,,2020-04-07,417.0,38,11,1,22.142857142857142,0.7857142857142857,inf,2.6201360549737576
SC,,42,,2020-04-08,457.0,40,15,4,24.857142857142858,1.0714285714285714,inf,2.6599162000698504
SC,,42,,2020-04-09,501.0,44,17,2,27.071428571428573,1.1428571428571428,15.0,2.699837725867246
SC,,42,,2020-04-10,693.0,192,18,1,38.857142857142854,1.2142857142857142,16.0,2.8407332346118066
SC,,42,,2020-04-11,732.0,39,21,3,39.142857142857146,1.4285714285714286,19.000000000000004,2.864511081058392
SC,,42,,2020-04-12,768.0,36,24,3,41.0,1.6428571428571428,22.0,2.885361220031512
SC,,42,,2020-04-13,777.0,9,24,0,41.42857142857143,1.6428571428571428,22.0,2.890421018800914
SC,,42,,2020-04-14,826.0,49,26,2,43.357142857142854,1.7142857142857142,11.0,2.916980047320382
SC,,42,,2020-04-15,853.0,27,28,2,44.142857142857146,1.8571428571428572,12.000000000000002,2.930949031167523
SC,,42,,2020-04-16,884.0,31,29,1,45.5,1.9285714285714286,12.500000000000002,2.946452265013073
SC,,42,,2020-04-17,926.0,42,30,1,46.07142857142857,1.7857142857142858,4.0,2.9666109866819346
SC,,42,,2020-04-18,962.0,36,31,1,44.857142857142854,1.8571428571428572,4.2,2.983175072037813
SC,,42,,2020-04-19,975.0,13,32,1,44.142857142857146,1.5714285714285714,1.2,2.989004615698537
SC,,42,,2020-04-20,1025.0,50,35,3,46.142857142857146,1.7857142857142858,1.5000000000000002,3.010723865391773
SC,,42,,2020-04-21,1063.0,38,35,0,46.142857142857146,1.7142857142857142,1.1818181818181817,3.0265332645232967
SC,,42,,2020-04-22,1091.0,28,37,2,45.285714285714285,1.5714285714285714,0.4666666666666667,3.037824750588342
SC,,42,,2020-04-23,1115.0,24,39,2,43.857142857142854,1.5714285714285714,0.37500000000000006,3.0472748673841794
SC,,42,,2020-04-24,1170.0,55,42,3,34.07142857142857,1.7142857142857142,0.411764705882353,3.0681858617461617
SC,,42,,2020-04-25,1209.0,39,42,0,34.07142857142857,1.5,0.049999999999999975,3.0824263008607717
SC,,42,,2020-04-26,1235.0,26,42,0,33.357142857142854,1.2857142857142858,-0.217391304347826,3.0916669575956846
SC,,42,,2020-04-27,1337.0,102,43,1,40.0,1.3571428571428572,-0.1739130434782608,3.1261314072619846
SC,,42,,2020-04-28,1476.0,139,44,1,46.42857142857143,1.2857142857142858,-0.2499999999999999,3.1690863574870227
SC,,42,,2020-04-29,1995.0,519,44,0,81.57142857142857,1.1428571428571428,-0.3846153846153847,3.299942900022767
SC,,42,,2020-04-30,2085.0,90,46,2,85.78571428571429,1.2142857142857142,-0.3703703703703704,3.3191060593097763
SC,,42,,2020-05-01,2104.0,19,48,2,84.14285714285714,1.2857142857142858,-0.27999999999999997,3.3230457354817013
SC,,42,,2020-05-02,2346.0,242,52,4,98.85714285714286,1.5,-0.19230769230769235,3.3703280077795106
SC,,42,,2020-05-03,2346.0,0,52,0,97.92857142857143,1.4285714285714286,-0.09090909090909087,3.3703280077795106
SC,,42,,2020-05-04,2519.0,173,52,0,106.71428571428571,1.2142857142857142,-0.32000000000000006,3.401228167498113
SC,,42,,2020-05-05,2623.0,104,55,3,111.42857142857143,1.4285714285714286,-0.1666666666666666,3.4187982905903533
SC,,42,,2020-05-06,2917.0,294,59,4,130.42857142857142,1.5714285714285714,0.0,3.4649364291217326
SC,,42,,2020-05-07,3082.0,165,63,4,140.5,1.7142857142857142,0.09090909090909087,3.4888326343824003
SC,,42,,2020-05-08,3205.0,123,63,0,145.35714285714286,1.5,-0.12499999999999994,3.5058280338548364
SC,,42,,2020-05-09,3372.0,167,64,1,154.5,1.5714285714285714,0.047619047619047596,3.527887565952705
SC,,42,,2020-05-10,3429.0,57,65,1,156.71428571428572,1.6428571428571428,0.2777777777777776,3.535167485114944
SC,,42,,2020-05-11,3529.0,100,69,4,156.57142857142858,1.8571428571428572,0.3684210526315789,3.5476516583599693
SC,,42,,2020-05-12,3733.0,204,73,4,161.21428571428572,2.0714285714285716,0.6111111111111112,3.5720579899263045
SC,,42,,2020-05-13,3828.0,95,73,0,130.92857142857142,2.0714285714285716,0.8125000000000002,3.582971929104806
SC,,42,,2020-05-14,4332.0,504,78,5,160.5,2.2857142857142856,0.8823529411764707,3.636688447953283
SC,,42,,2020-05-15,4562.0,230,79,1,175.57142857142858,2.2142857142857144,0.7222222222222222,3.6591552809406296
SC,,42,,2020-05-16,4678.0,116,81,2,166.57142857142858,2.0714285714285716,0.3809523809523811,3.670060217473134
SC,,42,,2020-05-17,4776.0,98,83,2,173.57142857142858,2.2142857142857144,0.55,3.6790643181213127
SC,,42,,2020-05-18,5175.0,399,85,2,189.71428571428572,2.357142857142857,0.9411764705882355,3.7139103541289553
SC,,42,,2020-05-19,5413.0,238,91,6,199.28571428571428,2.5714285714285716,0.8,3.7334380270910614
SC,,42,,2020-05-20,5499.0,86,94,3,184.42857142857142,2.5,0.5909090909090909,3.7402837196818792
SC,,42,,2020-05-21,5610.0,111,98,4,180.57142857142858,2.5,0.4583333333333334,3.748962861256161
SC,,42,,2020-05-22,6458.0,848,100,2,232.35714285714286,2.642857142857143,0.7619047619047619,3.810098040681143
SC,,42,,2020-05-23,6607.0,149,103,3,231.07142857142858,2.7857142857142856,0.7727272727272727,3.820004306808318
SC,,42,,2020-05-24,6696.0,89,105,2,233.35714285714286,2.857142857142857,0.7391304347826088,3.8258154449852038
SC,,42,,2020-05-25,6875.0,179,109,4,239.0,2.857142857142857,0.5384615384615384,3.8372727025023003
SC,,42,,2020-05-26,7016.0,141,121,12,234.5,3.4285714285714284,0.6551724137931032,3.846089580357984
SC,,42,,2020-05-27,7372.0,356,126,5,253.14285714285714,3.7857142857142856,0.8275862068965515,3.867585326547036
SC,,42,,2020-05-28,8000.0,628,131,5,262.0,3.7857142857142856,0.65625,3.9030899869919438
SC,,42,,2020-05-29,8530.0,530,134,3,283.42857142857144,3.9285714285714284,0.7741935483870966,3.930949031167523
SC,,42,,2020-05-30,8778.0,248,136,2,292.85714285714283,3.9285714285714284,0.8965517241379307,3.9433955765089546
SC,,42,,2020-05-31,9037.0,259,143,7,304.35714285714283,4.285714285714286,0.9354838709677418,3.9560242822806773
SC,,42,,2020-06-01,9498.0,461,146,3,308.7857142857143,4.357142857142857,0.8484848484848483,3.9776321652459994
SC,,42,,2020-06-02,9660.0,162,148,2,303.35714285714283,4.071428571428571,0.5833333333333331,3.9849771264154934
SC,,42,,2020-06-03,10034.0,374,152,4,323.92857142857144,4.142857142857143,0.6571428571428573,4.001474096691733
SC,,42,,2020-06-04,10532.0,498,156,4,351.57142857142856,4.142857142857143,0.6571428571428573,4.02251085043403
SC,,42,,2020-06-05,10846.0,314,159,3,313.42857142857144,4.214285714285714,0.5945945945945946,4.035269600099436
SC,,42,,2020-06-06,11285.0,439,166,7,334.14285714285717,4.5,0.6153846153846154,4.052501563413781
SC,,42,,2020-06-07,11565.0,280,171,5,347.7857142857143,4.714285714285714,0.65,4.063145637106638
SC,,42,,2020-06-08,11565.0,0,171,0,335.0,4.428571428571429,0.55,4.063145637106638
SC,,42,,2020-06-09,12192.0,627,179,8,369.7142857142857,4.142857142857143,0.2083333333333335,4.086074953995525
SC,,42,,2020-06-10,12594.0,402,184,5,373.0,4.142857142857143,0.09433962264150957,4.100163688966044
SC,,42,,2020-06-11,12953.0,359,186,2,353.7857142857143,3.9285714285714284,0.03773584905660376,4.112370365525832
SC,,42,,2020-06-12,13165.0,212,191,5,331.07142857142856,4.071428571428571,0.03636363636363635,4.119420863442087
SC,,42,,2020-06-13,13296.0,131,193,2,322.7142857142857,4.071428571428571,0.03636363636363635,4.123721006440036
SC,,42,,2020-06-14,13360.0,64,195,2,308.7857142857143,3.7142857142857144,-0.13333333333333328,4.125806458139527
SC,,42,,2020-06-15,13960.0,600,199,4,318.7142857142857,3.7857142857142856,-0.1311475409836065,4.144885418287142
SC,,42,,2020-06-16,14402.0,442,212,13,338.7142857142857,4.571428571428571,0.12280701754385966,4.158422806584882
SC,,42,,2020-06-17,15015.0,613,216,4,355.7857142857143,4.571428571428571,0.1034482758620688,4.176525336535
SC,,42,,2020-06-18,15573.0,558,222,6,360.07142857142856,4.714285714285714,0.13793103448275854,4.1923722835985116
SC,,42,,2020-06-19,16322.0,749,234,12,391.14285714285717,5.357142857142857,0.271186440677966,4.212773373519913
SC,,42,,2020-06-20,17108.0,786,237,3,415.92857142857144,5.071428571428571,0.12698412698412692,4.2331992415847735
SC,,42,,2020-06-21,17582.0,474,246,9,429.7857142857143,5.357142857142857,0.13636363636363624,4.245068275718399
SC,,42,,2020-06-22,17937.0,355,256,10,455.14285714285717,6.071428571428571,0.3709677419354837,4.253749808139813
SC,,42,,2020-06-23,19244.0,1307,263,7,503.7142857142857,6.0,0.44827586206896536,4.284295348230526
SC,,42,,2020-06-24,20921.0,1677,279,16,594.7857142857143,6.785714285714286,0.6379310344827585,4.320582439473552
SC,,42,,2020-06-25,21951.0,1030,289,10,642.7142857142857,7.357142857142857,0.8727272727272727,4.341454309753056
SC,,42,,2020-06-26,22947.0,996,298,9,698.7142857142857,7.642857142857143,0.8771929824561405,4.360725915641955
SC,,42,,2020-06-27,23808.0,861,304,6,750.8571428571429,7.928571428571429,0.9473684210526317,4.376722913865785
SC,,42,,2020-06-28,24364.0,556,312,8,786.0,8.357142857142858,1.25,4.3867485908293835
SC,,42,,2020-06-29,25056.0,692,324,12,792.5714285714286,8.928571428571429,1.358490566037736,4.39891174037785
SC,,42,,2020-06-30,26354.0,1298,341,17,853.7142857142857,9.214285714285714,1.015625,4.420846541601197
SC,,42,,2020-07-01,27279.0,925,347,6,876.0,9.357142857142858,1.0468750000000002,4.435828445806947
SC,,42,,2020-07-02,28575.0,1296,362,15,928.7142857142857,10.0,1.121212121212121,4.455986239067319
SC,,42,,2020-07-03,30261.0,1686,376,14,995.6428571428571,10.142857142857142,0.8933333333333334,4.480883275547908
SC,,42,,2020-07-04,31931.0,1670,383,7,1058.7857142857142,10.428571428571429,1.0563380281690142,4.504212519782205
SC,,42,,2020-07-05,32969.0,1038,393,10,1099.0714285714287,10.5,0.9600000000000002,4.5181057745296185
SC,,42,,2020-07-06,33822.0,853,406,13,1134.642857142857,10.714285714285714,0.7647058823529411,4.529199285203831
SC,,42,,2020-07-07,35342.0,1520,419,13,1149.857142857143,11.142857142857142,0.8571428571428571,4.548291122544448
SC,,42,,2020-07-08,36810.0,1468,432,13,1134.9285714285713,10.928571428571429,0.6105263157894738,4.565965817446667
SC,,42,,2020-07-09,38408.0,1598,447,15,1175.5,11.285714285714286,0.533980582524272,4.58442169296111
SC,,42,,2020-07-10,40106.0,1698,459,12,1225.642857142857,11.5,0.5046728971962616,4.603209349477183
SC,,42,,2020-07-11,42026.0,1920,485,26,1301.2857142857142,12.928571428571429,0.6306306306306306,4.623518056182059
SC,,42,,2020-07-12,43031.0,1005,497,12,1333.357142857143,13.214285714285714,0.581196581196581,4.6337814387954435
SC,,42,,2020-07-13,43815.0,784,517,20,1339.9285714285713,13.785714285714286,0.544,4.641622816029231
SC,,42,,2020-07-14,46050.0,2235,534,17,1406.857142857143,13.785714285714286,0.49612403100775215,4.663229634532867
SC,,42,,2020-07-15,47976.0,1926,569,35,1478.357142857143,15.857142857142858,0.6946564885496183,4.681024035829723
SC,,42,,2020-07-16,49781.0,1805,588,19,1514.7142857142858,16.142857142857142,0.6142857142857142,4.697063616461402
SC,,42,,2020-07-17,51549.0,1768,646,58,1520.5714285714287,19.285714285714285,0.9014084507042254,4.712220244814602
SC,,42,,2020-07-18,52531.0,982,662,16,1471.4285714285713,19.928571428571427,0.9109589041095888,4.720415668275947
SC,,42,,2020-07-19,53336.0,805,685,23,1454.7857142857142,20.857142857142858,0.9863945578231293,4.7270204421175075
SC,,42,,2020-07-20,54414.0,1078,694,9,1470.857142857143,20.571428571428573,0.9200000000000003,4.735710652281123
SC,,42,,2020-07-21,56475.0,2061,738,44,1509.5,22.785714285714285,1.044871794871795,4.7518562395924
SC,,42,,2020-07-22,59556.0,3081,765,27,1624.7142857142858,23.785714285714285,1.176470588235294,4.774925521244948
SC,,42,,2020-07-23,62282.0,2726,812,47,1705.2857142857142,26.071428571428573,1.310126582278481,4.7943625501873095
SC,,42,,2020-07-24,65017.0,2735,844,32,1779.357142857143,27.5,1.391304347826087,4.813026926502712
SC,,42,,2020-07-25,67333.0,2316,880,36,1807.642857142857,28.214285714285715,1.1823204419889504,4.828227964748957
SC,,42,,2020-07-26,68730.0,1397,907,27,1835.642857142857,29.285714285714285,1.2162162162162162,4.83714634390906
SC,,42,,2020-07-27,70138.0,1408,924,17,1880.2142857142858,29.071428571428573,1.1088082901554404,4.845953377722449
SC,,42,,2020-07-28,73771.0,3633,960,36,1980.0714285714287,30.428571428571427,1.2072538860103623,4.867885670560702
SC,,42,,2020-07-29,77001.0,3230,1002,42,2073.214285714286,30.928571428571427,0.9504504504504503,4.886496365323934
SC,,42,,2020-07-30,80904.0,3903,1043,41,2223.0714285714284,32.5,1.013274336283186,4.907969994232578
SC,,42,,2020-07-31,84073.0,3169,1102,59,2323.1428571428573,32.57142857142857,0.6888888888888889,4.924656544743199
SC,,42,,2020-08-01,86922.0,2849,1154,52,2456.5,35.142857142857146,0.7634408602150541,4.939129710503653
